"상품명","URL","검색어","가중치"
"76145","https://chatgift.co.kr/product/content.asp?guid=76145","#25절 #신년 #새해 #다이어리 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #시스템","77"
"76144","https://chatgift.co.kr/product/content.asp?guid=76144","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #시스템","72"
"76143","https://chatgift.co.kr/product/content.asp?guid=76143","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #시스템","60"
"76140","https://chatgift.co.kr/product/content.asp?guid=76140","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #스프링","65"
"76139","https://chatgift.co.kr/product/content.asp?guid=76139","#25절 #신년 #새해 #다이어리 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #스프링","75"
"76138","https://chatgift.co.kr/product/content.asp?guid=76138","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #스프링","70"
"76137","https://chatgift.co.kr/product/content.asp?guid=76137","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #스프링","69"
"76132","https://chatgift.co.kr/product/content.asp?guid=76132","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #양장","70"
"76131","https://chatgift.co.kr/product/content.asp?guid=76131","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #양장","75"
"76116","https://chatgift.co.kr/product/content.asp?guid=76116","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #양장","65"
"76114","https://chatgift.co.kr/product/content.asp?guid=76114","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #양장","80"
"76097","https://chatgift.co.kr/product/content.asp?guid=76097","#모임 #기념 #답례 #여성 #가정 #주부 #세미나 #행사 #판촉 #홍보 #디퓨저","70"
"76096","https://chatgift.co.kr/product/content.asp?guid=76096","#모임 #기념 #답례 #여성 #가정 #주부 #세미나 #행사 #판촉 #홍보 #디퓨저","75"
"76087","https://chatgift.co.kr/product/content.asp?guid=76087","#친환경 #기념 #감사 #대량 #저렴 #여성 #행사 #나들이 #판촉 #행사 #무지","80"
"76076","https://chatgift.co.kr/product/content.asp?guid=76076","#선물 #사무 #가정 #행사 #나들이 #판촉 #담요","50"
"76068","https://chatgift.co.kr/product/content.asp?guid=76068","#선물 #사무 #가정 #행사 #나들이 #판촉 #보온보냉백","45"
"76067","https://chatgift.co.kr/product/content.asp?guid=76067","#기념 #시상 #사무 #영업 #세미나 #컨퍼런스 #임원 #VIP #거치대","64"
"76065","https://chatgift.co.kr/product/content.asp?guid=76065","#기념 #상품 #모임 #회원 #멤버 #동호회 #골프 #스포츠 #대회 #참석 #참가 #골프공","70"
"76064","https://chatgift.co.kr/product/content.asp?guid=76064","#기념 #상품 #모임 #회원 #멤버 #동호회 #골프 #스포츠 #대회 #참석 #참가 #골프공","65"
"76052","https://chatgift.co.kr/product/content.asp?guid=76052","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #양장","71"
"76050","https://chatgift.co.kr/product/content.asp?guid=76050","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #양장","70"
"76048","https://chatgift.co.kr/product/content.asp?guid=76048","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #양장","77"
"76046","https://chatgift.co.kr/product/content.asp?guid=76046","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #스프링","72"
"76044","https://chatgift.co.kr/product/content.asp?guid=76044","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #스프링","77"
"76041","https://chatgift.co.kr/product/content.asp?guid=76041","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #스프링","75"
"76037","https://chatgift.co.kr/product/content.asp?guid=76037","#25절 #새해 #다이어리 #키트 #사무 #영업 #직원 #워크샵 #세미나 #컨퍼런스 #행사 #발표 #판촉 #홍보 #영업 #사내 #시스템","76"
"76030","https://chatgift.co.kr/product/content.asp?guid=76030","#담요 #선물 #답례 #여성 #직장 #겨울 #방한 #담요","46"
"76029","https://chatgift.co.kr/product/content.asp?guid=76029","#담요 #선물 #답례 #여성 #직장 #겨울 #방한 #담요","47"
"75998","https://chatgift.co.kr/product/content.asp?guid=75998","#선물 #사무 #세미나 #충전","62"
"75994","https://chatgift.co.kr/product/content.asp?guid=75994","#기념 #고급 #사무 #직원 #세미나 #컨퍼런스 #VIP #의전 #가습기","66"
"75934","https://chatgift.co.kr/product/content.asp?guid=75934","#답례 #선물 #모임 #상품 #보편적 #아무나 #골프 #야유회 #대회 #환갑 #고희 #세미나 #컨퍼런스 #분양 #홍보 #우산","68"
"75925","https://chatgift.co.kr/product/content.asp?guid=75925","#친환경 #선물 #키트 #사무 #직원 #카페 #등산 #골프 #여행 #캠핑 #소풍 #텀블러","71"
"75924","https://chatgift.co.kr/product/content.asp?guid=75924","#친환경 #선물 #키트 #사무 #직원 #카페 #등산 #골프 #여행 #캠핑 #소풍 #텀블러","73"
"75860","https://chatgift.co.kr/product/content.asp?guid=75860","#선물 #피부 #여성 #등산 #골프 #여행 #캠핑 #소풍 #선크림","49"
"75858","https://chatgift.co.kr/product/content.asp?guid=75858","#선물 #피부 #여성 #겨울 #보습 #캠핑 #소풍 #핸드크림","51"
"75764","https://chatgift.co.kr/product/content.asp?guid=75764","#선물 #피부 #여성 #골프 #야유회 #대회 #스포츠 #야외 #소풍 #썬패치","54"
"75737","https://chatgift.co.kr/product/content.asp?guid=75737","#기념 #모임 #상품 #시상 #사무 #직원 #휴대 #워크샵 #세미나 #컨퍼런스 #여행 #배터리","67"
"75697","https://chatgift.co.kr/product/content.asp?guid=75697","#기념 #고급 #사무 #직원 #세미나 #컨퍼런스 #VIP #의전 #가습기","55"
"75692","https://chatgift.co.kr/product/content.asp?guid=75692","#선물 #대량 #키트 #학생 #사무 #직원 #졸업 #세미나 #컨퍼런스 #행사 #발표 #충전","61"
"75690","https://chatgift.co.kr/product/content.asp?guid=75690","#차량 #행사 #시상 #고급 #세미나 #컨퍼런스 #공기청정기","57"
"75682","https://chatgift.co.kr/product/content.asp?guid=75682","#선물 #시상 #고급 #가정 #청소 #청소기","55"
"75669","https://chatgift.co.kr/product/content.asp?guid=75669","#친환경 #기념 #감사 #대량 #저렴 #여성 #행사 #나들이 #판촉 #행사 #에코백","51"
"75648","https://chatgift.co.kr/product/content.asp?guid=75648","#칫솔 #세면도구 #워크샵 #키트 #임직원 #직원 #사원 #워크샵 #여행 #캠핑 #행사 #홍보 #판촉 #칫솔","46"
"75635","https://chatgift.co.kr/product/content.asp?guid=75635","#기념 #세미나 #컨퍼런스 #행사 #판촉 #홍보 #USB","44"
"75621","https://chatgift.co.kr/product/content.asp?guid=75621","#기념 #모임 #키트 #고급 #직원 #운동 #워크샵 #세미나 #컨퍼런스 #발표 #세미나 #컨퍼런스 #발표 #이어폰","65"
"75617","https://chatgift.co.kr/product/content.asp?guid=75617","#기념 #고급 #사무 #직원 #세미나 #컨퍼런스 #VIP #의전 #가습기","60"
"75374","https://chatgift.co.kr/product/content.asp?guid=75374","#장바구니 #대량 #주부 #여성 #판촉 #홍보 #타포린","57"
"75260","https://chatgift.co.kr/product/content.asp?guid=75260","#답례 #모임 #여성 #사무 #야유회 #결혼 #분양 #홍보 #집들이 #에코백","65"
"75206","https://chatgift.co.kr/product/content.asp?guid=75206","#답례 #선물 #모임 #상품 #보편적 #아무나 #골프 #야유회 #대회 #환갑 #고희 #세미나 #컨퍼런스 #분양 #홍보 #수건","66"
"75176","https://chatgift.co.kr/product/content.asp?guid=75176","#답례 #선물 #모임 #상품 #보편적 #아무나 #골프 #야유회 #대회 #환갑 #고희 #세미나 #컨퍼런스 #분양 #홍보 #수건","81"
